City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
morro bay,1,56,35.37,70.0,4.41
los llanos de aridane,75,63,28.66,64.4,16.11
kalabo,44,45,-15.0,80.17,10.78
mecca,12,48,21.43,66.85,2.51
xian,40,93,42.76,53.01,3.36
alice springs,0,48,-23.7,62.6,2.24
marienburg,0,67,52.12,61.0,5.82
ilulissat,75,44,69.22,39.2,21.92
oranjemund,80,92,-28.55,60.55,8.21
shimoda,0,57,34.7,53.01,17.83
kachiry,20,73,53.07,34.9,10.56
butaritari,88,100,3.07,79.54,8.1
marawi,64,91,8.0,75.99,4.0
talnakh,80,87,69.49,19.22,6.17
anloga,40,83,5.79,84.2,16.11
tromso,75,92,69.65,32.0,19.46
namibe,0,100,-15.19,78.28,9.66
bandarbeyla,0,100,9.49,81.07,3.18
piopio,92,87,-42.79,59.0,6.93
pacific grove,90,63,36.62,66.99,5.82
tuy hoa,92,99,13.08,74.95,1.72
ewo,76,88,-0.88,73.6,5.64
kailua,1,69,21.39,79.0,3.36
denpasar,20,94,-8.65,78.8,1.12
lata,44,97,30.78,47.39,2.15
skibbereen,75,81,51.55,46.4,9.17
souillac,0,93,45.6,48.0,10.29
havoysund,64,97,71.0,32.0,18.34
kamaishi,0,64,39.28,39.76,4.74
vostok,80,95,46.45,25.0,1.39
santa isabel,75,78,4.71,80.6,3.36
jos,64,46,9.92,78.37,4.85
kavaratti,0,100,10.57,84.85,10.78
henderson,1,26,36.04,73.99,4.7
mareeba,75,83,-16.99,75.2,12.75
kirakira,76,99,-10.46,84.76,5.08
concarneau,92,93,47.88,48.2,8.05
ornskoldsvik,92,69,63.29,37.4,4.7
shingu,44,94,33.72,61.18,11.34
sampit,32,96,-2.54,73.33,3.06
riyadh,0,22,24.63,80.6,3.36
lompoc,1,60,34.64,70.0,13.87
bima,8,100,-8.45,70.54,2.28
hachinohe,8,52,40.47,39.0,1.01
havre,20,44,48.55,60.8,20.8
honiara,20,99,-9.43,77.47,1.39
smithers,75,59,54.78,46.4,3.36
lashio,0,86,22.93,60.46,1.95
slave lake,90,100,55.28,33.8,3.36
nuuk,75,52,64.17,41.0,16.11
nome,90,74,30.04,82.4,9.17
tura,92,96,25.52,65.41,3.96
dawlatabad,32,74,36.41,65.05,10.56
kidal,24,18,18.44,80.53,9.78
komarichi,0,77,52.42,34.81,7.99
waikuku,92,75,-43.29,46.99,11.41
ust-maya,12,76,60.42,17.35,4.63
san cristobal,75,46,-0.39,71.6,5.82
faanui,76,98,-16.48,85.21,15.7
veraval,0,66,49.65,54.0,9.17
severo-kurilsk,92,95,50.68,32.47,28.9
calahorra,40,75,42.3,50.0,5.82
ondangwa,44,26,-17.91,82.4,1.12
redondo,20,71,38.65,51.8,13.87
ouadda,100,22,8.07,88.63,7.65
erzin,75,68,36.95,64.4,6.93
wajima,68,80,37.4,50.11,8.88
new agutaya,12,95,10.56,80.62,10.0
murray bridge,0,93,-35.12,55.0,4.74
nizwa,24,23,22.93,71.42,4.05
nyaunglebin,0,79,17.95,73.42,3.4
mahebourg,75,74,-20.41,80.6,11.41
talcahuano,0,52,-36.72,68.0,12.75
avera,90,82,33.19,73.99,8.05
hay river,90,46,60.82,30.2,14.99
leningradskiy,56,85,69.38,5.0,15.01
druzhba,8,61,49.36,46.24,17.6
cabedelo,75,70,-6.97,84.2,9.17
wanning,0,50,48.64,53.6,10.29
merrill,75,50,42.03,53.01,17.22
kitimat,90,81,54.02,46.0,8.05
hervey bay,0,88,-25.3,64.99,6.93
yarada,92,54,17.65,80.6,3.36
wilmington,40,52,39.75,68.0,3.36
killybegs,0,54,54.63,53.6,4.7
sioux lookout,75,48,50.1,41.0,2.24
roma,0,71,41.89,55.0,4.7
sao filipe,0,94,14.9,71.44,18.05
galle,90,88,29.74,81.0,1.95
clyde river,68,84,70.47,5.0,35.57
chapais,75,73,49.78,32.0,12.75
saint-georges,88,95,46.12,37.99,8.99
san francisco,90,82,37.78,66.99,14.99
liverpool,0,53,53.41,52.0,9.17
mounana,40,100,-1.38,71.6,2.24
sergeyevka,0,86,53.88,29.23,4.97
boende,0,97,-0.28,71.53,1.95
chudniv,44,45,50.05,47.5,14.81
altay,32,88,47.83,24.01,3.18
micheweni,8,100,-4.97,84.67,5.75
kangaatsiaq,44,79,68.31,35.08,19.84
oum hadjer,0,42,13.3,75.13,3.62
richards bay,24,97,-28.77,65.5,9.22
opuwo,0,53,-18.06,66.4,3.85
praya,40,100,-8.71,75.2,5.08
sistranda,75,70,63.73,42.8,10.29
keuruu,0,44,62.26,39.99,3.36
kasane,40,77,-17.8,69.8,4.7
valparaiso,90,48,41.47,69.01,7.76
tual,68,99,-5.67,83.59,5.08
vila franca do campo,75,93,37.72,59.0,19.46
chinhoyi,12,56,-17.36,71.89,10.0
kaoma,32,65,-14.8,72.97,9.89
rio gallegos,20,47,-51.62,55.4,43.62
eureka,90,63,40.8,61.0,10.29
nishihara,1,75,35.74,57.0,1.95
hami,92,50,42.84,53.98,2.62
kuantan,75,88,3.82,77.0,2.73
salalah,75,78,17.01,80.6,4.7
chara,75,66,39.42,55.4,5.82
puerto quijarro,75,77,-19.0,69.8,11.41
sandwick,76,100,54.57,50.0,10.29
husavik,88,58,50.56,43.0,11.01
amahai,24,100,-3.31,81.61,2.62
sturgeon bay,90,100,44.83,52.0,10.29
arnoldstein,75,81,46.55,54.0,1.12
giyon,64,99,8.53,56.59,2.95
fortuna,40,71,38.18,59.0,4.7
raudeberg,8,65,61.99,46.4,8.05
mikhaylovsk,0,74,56.44,20.86,2.39
hovd,75,60,63.83,42.8,14.99
victoria,75,83,5.28,82.4,3.36
szabadszallas,0,100,46.88,51.01,2.24
rudnichnyy,0,71,59.7,20.68,2.95
taltal,0,56,-25.41,69.19,2.17
lorengau,36,100,-2.02,82.33,7.76
sanchazi,0,77,30.43,66.0,5.41
tabas,0,42,33.6,68.0,4.7
spencer,40,72,43.14,69.8,12.75
pathein,0,93,16.78,76.3,8.55
khasan,0,77,42.43,37.78,10.45
lazaro cardenas,90,22,28.39,73.99,5.82
kambove,20,84,-10.88,67.93,5.08
roche-la-moliere,0,66,45.43,50.0,5.82
bud,75,65,62.91,41.0,12.75
chalus,40,100,36.66,55.4,4.7
necochea,0,48,-38.55,71.62,10.78
vasilsursk,92,97,56.13,34.36,5.97
ketchikan,75,61,55.34,50.0,11.41
shanhetun,0,72,44.7,25.09,6.76
sept-iles,75,69,50.2,37.99,11.41
casper,75,36,42.87,61.0,24.16
namie,88,58,37.52,51.01,4.97
kasempa,64,91,-13.46,66.31,4.85
naryshkino,0,81,52.97,29.41,5.64
zaria,12,36,11.11,84.49,10.0
bambari,92,36,5.77,88.36,6.87
bathsheba,40,61,13.22,82.4,24.16
virginia beach,90,87,36.85,62.6,8.05
shahdol,0,66,23.3,67.84,3.96
okhotsk,48,82,59.36,30.04,5.75
severo-yeniseyskiy,88,86,60.37,30.67,3.96
tiznit,8,80,29.7,56.59,10.67
teya,75,32,21.05,98.6,20.8
chuy,76,80,-33.69,66.94,7.2
san quintin,8,83,17.54,68.56,3.62
votkinsk,0,76,57.05,37.0,3.06
mezen,88,87,65.85,32.2,5.64
lima,0,58,-12.06,82.4,10.29
galveston,75,48,40.58,68.0,8.05
toamasina,75,100,-18.17,75.2,5.82
ambulu,92,100,-8.35,77.29,0.83
coro,0,58,11.41,86.56,14.25
portland,75,66,45.52,57.99,5.82
jhol,0,51,25.96,84.2,6.93
chengde,0,62,40.97,26.62,2.95
nelson bay,75,93,-32.72,68.0,11.34
dzhebariki-khaya,0,76,62.22,16.18,2.39
asosa,12,48,10.07,66.4,2.84
camacha,40,93,33.08,64.4,14.99
fairbanks,75,55,64.84,35.6,8.05
kokopo,68,100,-4.34,79.54,2.06
altamont,90,100,49.4,42.8,10.29
luderitz,36,88,-26.65,58.3,9.44
muros,40,93,42.77,53.01,3.36
mangai,0,94,-4.07,75.58,1.5
imbituba,90,94,-28.24,69.8,6.93
iwanai,20,90,42.97,38.95,10.45
kolobovo,68,90,56.71,31.3,8.43
agirish,24,76,61.92,24.37,4.97
lesnikovo,0,64,55.28,25.09,2.84
sao raimundo das mangabeiras,56,78,-7.02,81.07,3.06
huarmey,20,58,-10.07,76.66,3.85
dunhua,0,54,43.37,25.9,6.98
preobrazheniye,0,88,42.9,25.36,3.62
anuradhapura,8,94,8.34,72.61,3.18
saldanha,56,96,41.42,39.85,7.2
sur,8,81,22.57,81.16,4.18
norden,0,93,53.59,57.2,3.36
vanimo,88,100,-2.67,78.73,1.95
coahuayana,20,24,18.62,87.46,3.18
darhan,0,71,49.49,12.4,2.84
aqtobe,0,81,50.28,37.4,2.24
beringovskiy,76,100,63.05,15.19,18.72
mimongo,92,96,-1.62,72.52,2.39
kenai,90,86,60.55,34.0,18.34
uvat,8,80,59.14,22.39,5.41
batticaloa,8,100,7.71,77.74,4.63
oksfjord,90,100,70.24,32.0,17.22
pevek,0,87,69.7,6.55,6.98
victor harbor,0,81,-35.55,55.0,6.93
gondanglegi,32,93,-7.75,70.63,3.85
bereda,40,81,43.27,51.01,10.29
khandyga,0,76,62.65,16.18,2.39
dali,8,100,25.6,41.83,2.17
carutapera,92,95,-1.2,77.83,5.86
antalaha,76,92,-14.9,78.46,9.78
khulna,44,72,22.82,75.4,3.06
frontignan,20,81,43.45,54.0,5.82
borgarnes,0,52,64.54,43.0,12.75
tocopilla,0,81,-22.09,69.46,5.3
banjar,88,95,-7.37,70.54,2.39
nioro,0,28,13.79,90.16,11.12
kendari,64,96,-3.99,73.24,2.84
kasongo-lunda,36,90,-6.48,72.79,1.28
new plymouth,24,100,-39.06,56.05,7.2
miles city,1,45,46.41,64.4,11.41
wenatchee,90,75,47.42,44.6,13.87
santo estevao,64,79,-12.43,80.98,5.86
zhaotong,8,85,27.34,33.82,2.17
santa maria a monte,0,76,43.7,55.4,3.36
jutai,92,98,-1.71,75.85,3.4
mercedes,80,57,-33.25,68.47,2.95
belmonte,92,88,40.36,45.0,8.99
gamba,64,69,28.28,9.07,1.61
port augusta,0,87,-32.49,51.8,3.36
ponca city,75,77,36.73,68.0,20.8
aripuana,80,87,-9.17,77.29,3.96
puerto madryn,0,50,-42.77,74.41,10.0
ostersund,36,91,63.18,32.0,3.36
lins,76,87,-21.67,79.27,3.18
kruisfontein,0,84,-34.0,63.43,12.24
jiblah,8,91,13.92,53.71,1.95
palmas,40,70,-10.18,86.0,3.36
kachug,0,68,53.96,5.47,2.39
zaysan,88,75,47.47,31.39,7.76
rawlins,1,43,41.79,53.6,20.8
hillsboro,1,42,39.2,70.0,8.05
sutton coldfield,75,70,52.56,50.0,9.17
boden,8,92,65.83,30.2,1.12
namatanai,88,100,-3.66,81.07,4.18
semnan,75,76,35.58,57.2,2.24
jertih,75,83,5.74,80.6,3.36
kalianget,68,97,-7.35,69.28,2.73
nanning,80,94,22.83,73.4,2.24
ogaminana,0,64,7.6,81.16,10.45
serra talhada,88,88,-7.99,75.04,5.19
paka,0,66,45.29,51.8,6.93
lappeenranta,0,41,61.06,42.8,3.36
srednekolymsk,36,88,67.46,8.08,3.18
tarakan,88,100,3.3,76.93,3.4
tilichiki,20,84,60.47,24.64,3.96
jardim,80,83,-21.48,70.27,8.66
jian,92,97,25.65,66.58,8.55
olenino,80,87,56.21,35.89,2.95
iwaki,92,39,37.05,51.01,2.17
tiksi,0,78,71.64,8.71,2.84
durban,90,87,43.54,48.2,5.82
mae sai,0,83,20.44,75.2,1.12
santiago del estero,0,50,-27.8,75.49,5.3
orneta,8,60,54.12,43.9,8.55
vanderhoof,8,42,54.02,49.39,7.31
farafangana,68,100,-22.82,74.5,1.72
pasco,75,71,46.24,59.0,11.41
alofi,76,94,-19.06,78.8,5.82
impruneta,0,71,43.69,55.4,3.36
cocobeach,40,79,1.01,84.2,5.82
kostino,68,54,41.7,57.0,13.87
ucluelet,90,87,48.94,46.99,18.34
maua,88,75,0.23,66.04,1.39
kecskemet,0,93,46.91,50.0,4.7
capao da canoa,92,100,-29.75,72.61,12.68
salinas,75,63,36.67,69.01,3.62
divnomorskoye,0,63,44.5,53.17,6.08
kenora,75,52,49.76,42.8,6.93
iqaluit,90,67,63.75,23.0,5.82
aldan,56,76,58.61,22.93,3.4
lalganj,40,57,26.17,78.8,14.99
chester,0,53,53.19,52.0,9.17
san juan del sur,20,58,11.25,86.0,6.93
algeciras,20,62,36.13,59.0,24.16
ahuimanu,1,69,21.44,79.0,3.36
alekseyevka,40,93,53.25,41.0,6.71
orsk,0,93,51.23,33.8,6.71
rocha,80,63,-34.48,66.85,3.96
novikovo,0,100,45.05,38.32,1.28
gorom-gorom,44,24,14.45,88.27,11.45
wichita falls,1,68,33.91,73.0,9.17
romny,0,59,50.74,35.62,7.65
guerrero negro,0,62,27.97,68.83,15.48
kurumkan,12,57,54.33,-4.34,2.62
biedenkopf,75,48,50.92,60.8,5.82
katima mulilo,44,45,-17.5,77.83,3.85
